Section ID,Section,Arabic (New - GASTAT),Arabic (Short)
S01,Animals and their products,الحيوانات ومنتجاتها,الحيوانات
S02,Plant Products,المنتجات النباتية,المنتجات النباتية
S03,"Animal and vegetable fats, oils, waxex and their products",الدهون والزيوت والشموع الحيوانية والنباتية ومنتجاتها,دهون وزيوت وشموع
S04,"Prepared foodstuffs, beverages and tobacco",الأغذية المُحضّرة والمشروبات والتبغ,أغذية ومشروبات وتبغ
S05,Mineral Products,المنتجات المعدنية,المنتجات المعدنية
S06,Products of the chemical industries,منتجات الصناعات الكيماوية,الصناعات الكيماوية
S07,"Plastics, rubber and their articles",اللدائن والمطاط ومصنوعاتهما,لدائن ومطاط
S08,"Skins, leather and their articles, handbags and similar",الجلود والفراء ومصنوعاتهما (ومنها الحقائب),جلود وفراء
S09,"Wood, cork, plaiting materials and their articles",الخشب والفلّين ومصنوعاتهما؛ مواد الضفر ومصنوعاتها,خشب وفلّين
S10,"Paper, paperboard and their articles",عجائن الخشب/الورق والورق المقوّى ومصنوعاتهما,ورق وورق مقوّى
S11,Textiles and their articles,المنسوجات ومصنوعاتها,منسوجات
S12,"Footwear, headgear, umbrellas, sticks",الأحذية وأغطية الرأس والمظلات والعصي وما شابه,أحذية وأغطية رأس
S13,"Articles of stone, plaster, cement, ceramic, glass",مصنوعات من الحجر/الجبس/الإسمنت؛ السيراميك والزجاج,حجر وسيراميك وزجاج
S14,"Precious stones or metals and their articles, jewelry",اللؤلؤ والأحجار الكريمة والمعادن الثمينة ومصنوعاتها (المجوهرات),أحجار كريمة ومعادن ثمينة
S15,Base metals and their articles,المعادن الأساسية ومصنوعاتها,معادن أساسية
S16,"Machinery and mechanical appliances, electrical equipment, parts thereof",الآلات والأجهزة الميكانيكية؛ المعدات الكهربائية وأجزاؤها,آلات ومعدات كهربائية
S17,"Vehicles, aircraft, vessels and associated transport equipment",معدات النقل (المركبات/الطائرات/السفن) وأجزاؤها,معدات النقل
S18,"Optical, photographic, measuring, checking, medical instruments and apparatus; clocks and musical Instruments",أجهزة البصريات/التصوير/القياس/الطب؛ الساعات والآلات الموسيقية,أجهزة بصرية وطبية
S19,Arms and Ammunition; Parts and Accessories Thereof,الأسلحة والذخائر وأجزاؤها وملحقاتها,أسلحة وذخائر
S20,Miscellaneous Manufactured Articles,مصنوعات متفرقة,مصنوعات متفرقة
S21,Works of arts and antiqes,الأعمال الفنية والتحف,فنون وتحف